Date of analysis,Country,Total country population,Level 1,Validity period,From,To,Phase,Number,Percentage
Mar 2026,SSD,14203031,Western Equatoria,first projection,2026-04-01,2026-07-31,all,1026173,1.0
Mar 2026,SSD,14203031,Western Equatoria,first projection,2026-04-01,2026-07-31,3+,302811,0.3
Mar 2026,SSD,14203031,Western Equatoria,first projection,2026-04-01,2026-07-31,1,336098,0.33
Mar 2026,SSD,14203031,Western Equatoria,first projection,2026-04-01,2026-07-31,2,387264,0.38
Mar 2026,SSD,14203031,Western Equatoria,first projection,2026-04-01,2026-07-31,3,230050,0.22
Mar 2026,SSD,14203031,Western Equatoria,first projection,2026-04-01,2026-07-31,4,72762,0.07
Mar 2026,SSD,14203031,Western Equatoria,first projection,2026-04-01,2026-07-31,5,0,0.0
Mar 2026,SSD,14203031,Western Equatoria,second projection,2026-04-01,2026-07-31,all,1026173,1.0
Mar 2026,SSD,14203031,Western Equatoria,second projection,2026-04-01,2026-07-31,3+,302811,0.3
Mar 2026,SSD,14203031,Western Equatoria,second projection,2026-04-01,2026-07-31,1,336098,0.33
Mar 2026,SSD,14203031,Western Equatoria,second projection,2026-04-01,2026-07-31,2,387264,0.38
Mar 2026,SSD,14203031,Western Equatoria,second projection,2026-04-01,2026-07-31,3,230050,0.22
Mar 2026,SSD,14203031,Western Equatoria,second projection,2026-04-01,2026-07-31,4,72762,0.07
Mar 2026,SSD,14203031,Western Equatoria,second projection,2026-04-01,2026-07-31,5,0,0.0
Mar 2026,SSD,14203031,Upper Nile,first projection,2026-04-01,2026-07-31,all,2224708,1.0
Mar 2026,SSD,14203031,Upper Nile,first projection,2026-04-01,2026-07-31,3+,1473959,0.66
Mar 2026,SSD,14203031,Upper Nile,first projection,2026-04-01,2026-07-31,1,272311,0.12
Mar 2026,SSD,14203031,Upper Nile,first projection,2026-04-01,2026-07-31,2,478443,0.22
Mar 2026,SSD,14203031,Upper Nile,first projection,2026-04-01,2026-07-31,3,937781,0.42
Mar 2026,SSD,14203031,Upper Nile,first projection,2026-04-01,2026-07-31,4,512038,0.23
Mar 2026,SSD,14203031,Upper Nile,first projection,2026-04-01,2026-07-31,5,24140,0.01
Mar 2026,SSD,14203031,Upper Nile,second projection,2026-04-01,2026-07-31,all,2224708,1.0
Mar 2026,SSD,14203031,Upper Nile,second projection,2026-04-01,2026-07-31,3+,1473959,0.66
Mar 2026,SSD,14203031,Upper Nile,second projection,2026-04-01,2026-07-31,1,272311,0.12
Mar 2026,SSD,14203031,Upper Nile,second projection,2026-04-01,2026-07-31,2,478443,0.22
Mar 2026,SSD,14203031,Upper Nile,second projection,2026-04-01,2026-07-31,3,937781,0.42
Mar 2026,SSD,14203031,Upper Nile,second projection,2026-04-01,2026-07-31,4,512038,0.23
Mar 2026,SSD,14203031,Upper Nile,second projection,2026-04-01,2026-07-31,5,24140,0.01
Mar 2026,SSD,14203031,Abyei Region,first projection,2026-04-01,2026-07-31,all,160330,1.0
Mar 2026,SSD,14203031,Abyei Region,first projection,2026-04-01,2026-07-31,3+,104215,0.65
Mar 2026,SSD,14203031,Abyei Region,first projection,2026-04-01,2026-07-31,1,16033,0.1
Mar 2026,SSD,14203031,Abyei Region,first projection,2026-04-01,2026-07-31,2,40083,0.25
Mar 2026,SSD,14203031,Abyei Region,first projection,2026-04-01,2026-07-31,3,64132,0.4
Mar 2026,SSD,14203031,Abyei Region,first projection,2026-04-01,2026-07-31,4,40083,0.25
Mar 2026,SSD,14203031,Abyei Region,first projection,2026-04-01,2026-07-31,5,0,0.0
Mar 2026,SSD,14203031,Abyei Region,second projection,2026-04-01,2026-07-31,all,160330,1.0
Mar 2026,SSD,14203031,Abyei Region,second projection,2026-04-01,2026-07-31,3+,104215,0.65
Mar 2026,SSD,14203031,Abyei Region,second projection,2026-04-01,2026-07-31,1,16033,0.1
Mar 2026,SSD,14203031,Abyei Region,second projection,2026-04-01,2026-07-31,2,40083,0.25
Mar 2026,SSD,14203031,Abyei Region,second projection,2026-04-01,2026-07-31,3,64132,0.4
Mar 2026,SSD,14203031,Abyei Region,second projection,2026-04-01,2026-07-31,4,40083,0.25
Mar 2026,SSD,14203031,Abyei Region,second projection,2026-04-01,2026-07-31,5,0,0.0
Mar 2026,SSD,14203031,Northern Bahr El Ghazal,first projection,2026-04-01,2026-07-31,all,1103829,1.0
Mar 2026,SSD,14203031,Northern Bahr El Ghazal,first projection,2026-04-01,2026-07-31,3+,662294,0.6
Mar 2026,SSD,14203031,Northern Bahr El Ghazal,first projection,2026-04-01,2026-07-31,1,115123,0.1
Mar 2026,SSD,14203031,Northern Bahr El Ghazal,first projection,2026-04-01,2026-07-31,2,326414,0.3
Mar 2026,SSD,14203031,Northern Bahr El Ghazal,first projection,2026-04-01,2026-07-31,3,441531,0.4
Mar 2026,SSD,14203031,Northern Bahr El Ghazal,first projection,2026-04-01,2026-07-31,4,220762,0.2
Mar 2026,SSD,14203031,Northern Bahr El Ghazal,first projection,2026-04-01,2026-07-31,5,0,0.0
Mar 2026,SSD,14203031,Northern Bahr El Ghazal,second projection,2026-04-01,2026-07-31,all,1103829,1.0
Mar 2026,SSD,14203031,Northern Bahr El Ghazal,second projection,2026-04-01,2026-07-31,3+,662294,0.6
Mar 2026,SSD,14203031,Northern Bahr El Ghazal,second projection,2026-04-01,2026-07-31,1,115123,0.1
Mar 2026,SSD,14203031,Northern Bahr El Ghazal,second projection,2026-04-01,2026-07-31,2,326414,0.3
Mar 2026,SSD,14203031,Northern Bahr El Ghazal,second projection,2026-04-01,2026-07-31,3,441531,0.4
Mar 2026,SSD,14203031,Northern Bahr El Ghazal,second projection,2026-04-01,2026-07-31,4,220762,0.2
Mar 2026,SSD,14203031,Northern Bahr El Ghazal,second projection,2026-04-01,2026-07-31,5,0,0.0
Mar 2026,SSD,14203031,Warrap,first projection,2026-04-01,2026-07-31,all,1401874,1.0
Mar 2026,SSD,14203031,Warrap,first projection,2026-04-01,2026-07-31,3+,735664,0.52
Mar 2026,SSD,14203031,Warrap,first projection,2026-04-01,2026-07-31,1,245495,0.18
Mar 2026,SSD,14203031,Warrap,first projection,2026-04-01,2026-07-31,2,420717,0.3
Mar 2026,SSD,14203031,Warrap,first projection,2026-04-01,2026-07-31,3,476479,0.34
Mar 2026,SSD,14203031,Warrap,first projection,2026-04-01,2026-07-31,4,259185,0.18
Mar 2026,SSD,14203031,Warrap,first projection,2026-04-01,2026-07-31,5,0,0.0
Mar 2026,SSD,14203031,Warrap,second projection,2026-04-01,2026-07-31,all,1401874,1.0
Mar 2026,SSD,14203031,Warrap,second projection,2026-04-01,2026-07-31,3+,735664,0.52
Mar 2026,SSD,14203031,Warrap,second projection,2026-04-01,2026-07-31,1,245495,0.18
Mar 2026,SSD,14203031,Warrap,second projection,2026-04-01,2026-07-31,2,420717,0.3
