Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
South Sudan,Upper Nile,Melut,SSD,SS0709,SS07,March,2026,0,0
South Sudan,Jonglei,Nyirol,SSD,SS0307,SS03,March,2026,2,1
South Sudan,Unity,Mayom,SSD,SS0606,SS06,March,2026,7,20
South Sudan,Eastern Equatoria,Torit,SSD,SS0208,SS02,March,2026,5,8
South Sudan,Western Equatoria,Mvolo,SSD,SS1006,SS10,March,2026,0,0
South Sudan,Eastern Equatoria,Kapoeta North,SSD,SS0204,SS02,April,2026,3,4
South Sudan,Warrap,Tonj South,SSD,SS0805,SS08,April,2026,0,0
South Sudan,Unity,Panriang,SSD,SS0608,SS06,April,2026,2,0
South Sudan,Central Equatoria,Juba,SSD,SS0101,SS01,April,2026,5,18
South Sudan,Northern Bahr el Ghazal,Aweil North,SSD,SS0503,SS05,April,2026,0,0
South Sudan,Jonglei,Canal/Pigi,SSD,SS0304,SS03,April,2026,0,0
South Sudan,Jonglei,Pochalla,SSD,SS0309,SS03,April,2026,1,1
South Sudan,Northern Bahr el Ghazal,Aweil West,SSD,SS0505,SS05,April,2026,0,0
South Sudan,Unity,Mayendit,SSD,SS0605,SS06,April,2026,0,0
South Sudan,Lakes,Cueibet,SSD,SS0402,SS04,April,2026,1,10
South Sudan,Upper Nile,Maban,SSD,SS0705,SS07,April,2026,1,0
South Sudan,Warrap,Gogrial East,SSD,SS0801,SS08,April,2026,2,0
South Sudan,Upper Nile,Renk,SSD,SS0711,SS07,April,2026,0,0
South Sudan,Warrap,Twic,SSD,SS0806,SS08,April,2026,4,4
South Sudan,Upper Nile,Panyikang,SSD,SS0710,SS07,April,2026,5,10
South Sudan,Eastern Equatoria,Kapoeta East,SSD,SS0203,SS02,April,2026,0,0
South Sudan,Warrap,Tonj North,SSD,SS0804,SS08,April,2026,4,3
South Sudan,Eastern Equatoria,Ikotos,SSD,SS0202,SS02,April,2026,0,0
South Sudan,Jonglei,Duk,SSD,SS0305,SS03,April,2026,0,0
South Sudan,Lakes,Wulu,SSD,SS0406,SS04,April,2026,0,0
South Sudan,Upper Nile,Luakpiny/Nasir,SSD,SS0704,SS07,April,2026,6,4
